id,module_code,dept_id,positive_feedback,intelligent_decision_id
ADOPT000082,MSDATA,0000,采纳,INTELLI000082
ADOPT000083,MSDATA,0000,未采纳,INTELLI000083
ADOPT000084,MSDATA,0000,未采纳,INTELLI000084
ADOPT000085,MSDATA,0000,未采纳,INTELLI000085
ADOPT000086,MSDATA,0000,未采纳,INTELLI000086
ADOPT000087,MSDATA,0000,采纳,INTELLI000087
ADOPT000088,MSDATA,0000,未采纳,INTELLI000088
ADOPT000089,MSDATA,0000,未采纳,INTELLI000089
ADOPT000090,MSDATA,0000,未采纳,INTELLI000090
ADOPT000091,MSDATA,0000,未采纳,INTELLI000091
ADOPT000092,MSDATA,0000,未采纳,INTELLI000092
ADOPT000093,MSDATA,0000,采纳,INTELLI000093
ADOPT000094,MSDATA,0000,未采纳,INTELLI000094
ADOPT000095,MSDATA,0000,采纳,INTELLI000095
ADOPT000096,MSDATA,0000,采纳,INTELLI000096
ADOPT000097,MSDATA,0000,采纳,INTELLI000097
ADOPT000098,MSDATA,0000,未采纳,INTELLI000098
ADOPT000099,MSDATA,0000,未采纳,INTELLI000099
ADOPT000100,MSDATA,0000,采纳,INTELLI000100
ADOPT000101,MSDATA,0000,未采纳,INTELLI000101
ADOPT000102,MSDATA,0000,采纳,INTELLI000102
ADOPT000103,MSDATA,0000,未采纳,INTELLI000103
ADOPT000104,MSDATA,0000,采纳,INTELLI000104
ADOPT000105,MSDATA,0000,未采纳,INTELLI000105
ADOPT000106,MSDATA,0000,未采纳,INTELLI000106
ADOPT000107,MSDATA,0000,未采纳,INTELLI000107
ADOPT000108,MSDATA,0000,采纳,INTELLI000108
ADOPT000109,MSDATA,0000,采纳,INTELLI000109
ADOPT000110,MSDATA,0000,未采纳,INTELLI000110
ADOPT000111,MSDATA,0000,采纳,INTELLI000111
ADOPT000112,MSDATA,0000,未采纳,INTELLI000112
ADOPT000113,MSDATA,0000,采纳,INTELLI000113
ADOPT000114,MSDATA,0000,未采纳,INTELLI000114
ADOPT000115,MSDATA,0000,采纳,INTELLI000115
ADOPT000116,MSDATA,0000,采纳,INTELLI000116
ADOPT000117,MSDATA,0000,未采纳,INTELLI000117
ADOPT000118,MSDATA,0000,未采纳,INTELLI000118
ADOPT000119,MSDATA,0000,采纳,INTELLI000119
ADOPT000120,MSDATA,0000,采纳,INTELLI000120
ADOPT000121,MSDATA,0000,未采纳,INTELLI000121
ADOPT000122,MSDATA,0000,未采纳,INTELLI000122
ADOPT000123,MSDATA,0000,采纳,INTELLI000123
ADOPT000124,MSDATA,0000,未采纳,INTELLI000124
ADOPT000125,MSDATA,0000,采纳,INTELLI000125
ADOPT000126,MSDATA,0000,采纳,INTELLI000126
ADOPT000127,MSDATA,0000,未采纳,INTELLI000127
ADOPT000128,MSDATA,0000,未采纳,INTELLI000128
ADOPT000129,MSDATA,0000,未采纳,INTELLI000129
ADOPT000130,MSDATA,0000,采纳,INTELLI000130
ADOPT000131,MSDATA,0000,未采纳,INTELLI000131
ADOPT000132,MSDATA,0000,采纳,INTELLI000132
ADOPT000133,MSDATA,0000,未采纳,INTELLI000133
ADOPT000134,MSDATA,0000,采纳,INTELLI000134
ADOPT000135,MSDATA,0000,未采纳,INTELLI000135
ADOPT000136,MSDATA,0000,未采纳,INTELLI000136
ADOPT000137,MSDATA,0000,未采纳,INTELLI000137
ADOPT000138,MSDATA,0000,未采纳,INTELLI000138
ADOPT000139,MSDATA,0000,未采纳,INTELLI000139
ADOPT000140,MSDATA,0000,未采纳,INTELLI000140
ADOPT000141,MSDATA,0000,未采纳,INTELLI000141
ADOPT000142,MSDATA,0000,采纳,INTELLI000142
ADOPT000143,MSDATA,0000,采纳,INTELLI000143
ADOPT000144,MSDATA,0000,未采纳,INTELLI000144
ADOPT000145,MSDATA,0000,采纳,INTELLI000145
ADOPT000146,MSDATA,0000,采纳,INTELLI000146
ADOPT000147,MSDATA,0000,采纳,INTELLI000147
ADOPT000148,MSDATA,0000,未采纳,INTELLI000148
ADOPT000149,MSDATA,0000,采纳,INTELLI000149
ADOPT000150,MSDATA,0000,采纳,INTELLI000150
ADOPT000151,MSDATA,0000,采纳,INTELLI000151
ADOPT000152,MSDATA,0000,未采纳,INTELLI000152
ADOPT000153,MSDATA,0000,未采纳,INTELLI000153
ADOPT000154,MSDATA,0000,未采纳,INTELLI000154
ADOPT000155,MSDATA,0000,未采纳,INTELLI000155
ADOPT000156,MSDATA,0000,未采纳,INTELLI000156
ADOPT000157,MSDATA,0000,采纳,INTELLI000157
ADOPT000158,MSDATA,0000,未采纳,INTELLI000158
ADOPT000159,MSDATA,0000,未采纳,INTELLI000159
ADOPT000160,MSDATA,0000,采纳,INTELLI000160
ADOPT000161,MSDATA,0000,未采纳,INTELLI000161
ADOPT000162,MSDATA,0000,未采纳,INTELLI000162
ADOPT000163,MSDATA,0000,未采纳,INTELLI000163
ADOPT000164,MSDATA,0000,未采纳,INTELLI000164
ADOPT000165,MSDATA,0000,未采纳,INTELLI000165
ADOPT000166,MSDATA,0000,采纳,INTELLI000166
ADOPT000167,MSDATA,0000,采纳,INTELLI000167
ADOPT000168,MSDATA,0000,未采纳,INTELLI000168
ADOPT000169,MSDATA,0000,采纳,INTELLI000169
ADOPT000170,MSDATA,0000,采纳,INTELLI000170
ADOPT000171,MSDATA,0000,未采纳,INTELLI000171
ADOPT000172,MSDATA,0000,采纳,INTELLI000172
ADOPT000173,MSDATA,0000,未采纳,INTELLI000173
ADOPT000174,MSDATA,0000,未采纳,INTELLI000174
ADOPT000175,MSDATA,0000,未采纳,INTELLI000175
ADOPT000176,MSDATA,0000,未采纳,INTELLI000176
ADOPT000177,MSDATA,0000,采纳,INTELLI000177
ADOPT000178,MSDATA,0000,采纳,INTELLI000178
ADOPT000179,MSDATA,0000,采纳,INTELLI000179
ADOPT000180,MSDATA,0000,采纳,INTELLI000180
ADOPT000181,MSDATA,0000,采纳,INTELLI000181
ADOPT000182,MSDATA,0000,采纳,INTELLI000182
ADOPT000183,MSDATA,0000,未采纳,INTELLI000183
ADOPT000184,MSDATA,0000,未采纳,INTELLI000184
ADOPT000185,MSDATA,0000,采纳,INTELLI000185
ADOPT000186,MSDATA,0000,采纳,INTELLI000186
ADOPT000187,MSDATA,0000,采纳,INTELLI000187
ADOPT000188,MSDATA,0000,未采纳,INTELLI000188
ADOPT000189,MSDATA,0000,未采纳,INTELLI000189
ADOPT000190,MSDATA,0000,未采纳,INTELLI000190
ADOPT000191,MSDATA,0000,未采纳,INTELLI000191
ADOPT000192,MSDATA,0000,采纳,INTELLI000192
ADOPT000193,MSDATA,0000,采纳,INTELLI000193
ADOPT000194,MSDATA,0000,采纳,INTELLI000194
ADOPT000195,MSDATA,0000,未采纳,INTELLI000195
ADOPT000196,MSDATA,0000,采纳,INTELLI000196
ADOPT000197,MSDATA,0000,采纳,INTELLI000197
ADOPT000198,MSDATA,0000,采纳,INTELLI000198
ADOPT000199,MSDATA,0000,采纳,INTELLI000199
ADOPT000200,MSDATA,0000,未采纳,INTELLI000200
ADOPT000201,MSDATA,0000,采纳,INTELLI000201
ADOPT000202,MSDATA,0000,采纳,INTELLI000202
ADOPT000203,MSDATA,0000,未采纳,INTELLI000203
ADOPT000204,MSDATA,0000,未采纳,INTELLI000204
ADOPT000205,MSDATA,0000,采纳,INTELLI000205
ADOPT000206,MSDATA,0000,未采纳,INTELLI000206
ADOPT000207,MSDATA,0000,采纳,INTELLI000207
ADOPT000208,MSDATA,0000,采纳,INTELLI000208
ADOPT000209,MSDATA,0000,采纳,INTELLI000209
ADOPT000210,MSDATA,0000,采纳,INTELLI000210
ADOPT000211,MSDATA,0000,未采纳,INTELLI000211
ADOPT000212,MSDATA,0000,未采纳,INTELLI000212
ADOPT000213,MSDATA,0000,未采纳,INTELLI000213
ADOPT000214,MSDATA,0000,未采纳,INTELLI000214
ADOPT000215,MSDATA,0000,采纳,INTELLI000215
ADOPT000216,MSDATA,0000,未采纳,INTELLI000216
ADOPT000217,MSDATA,0000,采纳,INTELLI000217
ADOPT000218,MSDATA,0000,采纳,INTELLI000218
ADOPT000219,MSDATA,0000,未采纳,INTELLI000219
ADOPT000220,MSDATA,0000,未采纳,INTELLI000220
ADOPT000221,MSDATA,0000,采纳,INTELLI000221
ADOPT000222,MSDATA,0000,未采纳,INTELLI000222
ADOPT000223,MSDATA,0000,采纳,INTELLI000223
ADOPT000224,MSDATA,0000,采纳,INTELLI000224
ADOPT000225,MSDATA,0000,采纳,INTELLI000225
ADOPT000226,MSDATA,0000,未采纳,INTELLI000226
ADOPT000227,MSDATA,0000,未采纳,INTELLI000227
ADOPT000228,MSDATA,0000,未采纳,INTELLI000228
ADOPT000229,MSDATA,0000,采纳,INTELLI000229
ADOPT000230,MSDATA,0000,未采纳,INTELLI000230
ADOPT000231,MSDATA,0000,采纳,INTELLI000231
ADOPT000232,MSDATA,0000,采纳,INTELLI000232
ADOPT000233,MSDATA,0000,采纳,INTELLI000233
ADOPT000234,MSDATA,0000,未采纳,INTELLI000234
ADOPT000235,MSDATA,0000,采纳,INTELLI000235
ADOPT000236,MSDATA,0000,采纳,INTELLI000236
ADOPT000237,MSDATA,0000,未采纳,INTELLI000237
ADOPT000238,MSDATA,0000,未采纳,INTELLI000238
ADOPT000239,MSDATA,0000,采纳,INTELLI000239
ADOPT000240,MSDATA,0000,采纳,INTELLI000240
ADOPT000241,MSDATA,0000,未采纳,INTELLI000241
ADOPT000242,MSDATA,0000,未采纳,INTELLI000242
ADOPT000243,MSDATA,0000,未采纳,INTELLI000243
ADOPT000244,MSDATA,0000,未采纳,INTELLI000244
ADOPT000245,MSDATA,0000,未采纳,INTELLI000245
ADOPT000246,MSDATA,0000,采纳,INTELLI000246
ADOPT000247,MSDATA,0000,未采纳,INTELLI000247
ADOPT000248,MSDATA,0000,未采纳,INTELLI000248
ADOPT000249,MSDATA,0000,采纳,INTELLI000249
ADOPT000250,MSDATA,0000,未采纳,INTELLI000250
ADOPT000251,MSDATA,0000,未采纳,INTELLI000251
ADOPT000252,MSDATA,0000,采纳,INTELLI000252
ADOPT000253,MSDATA,0000,采纳,INTELLI000253
ADOPT000254,MSDATA,0000,采纳,INTELLI000254
ADOPT000255,MSDATA,0000,未采纳,INTELLI000255
ADOPT000256,MSDATA,0000,未采纳,INTELLI000256
ADOPT000257,MSDATA,0000,未采纳,INTELLI000257
ADOPT000258,MSDATA,0000,未采纳,INTELLI000258
ADOPT000259,MSDATA,0000,采纳,INTELLI000259
ADOPT000260,MSDATA,0000,采纳,INTELLI000260
ADOPT000261,MSDATA,0000,采纳,INTELLI000261
ADOPT000262,MSDATA,0000,未采纳,INTELLI000262
ADOPT000263,MSDATA,0000,未采纳,INTELLI000263
ADOPT000264,MSDATA,0000,采纳,INTELLI000264
ADOPT000265,MSDATA,0000,未采纳,INTELLI000265
ADOPT000266,MSDATA,0000,未采纳,INTELLI000266
ADOPT000267,MSDATA,0000,采纳,INTELLI000267
ADOPT000268,MSDATA,0000,未采纳,INTELLI000268
ADOPT000269,MSDATA,0000,未采纳,INTELLI000269
ADOPT000270,MSDATA,0000,未采纳,INTELLI000270
ADOPT000271,MSDATA,0000,采纳,INTELLI000271
ADOPT000272,MSDATA,0000,未采纳,INTELLI000272
ADOPT000273,MSDATA,0000,采纳,INTELLI000273
ADOPT000274,MSDATA,0000,未采纳,INTELLI000274
ADOPT000275,MSDATA,0000,未采纳,INTELLI000275
ADOPT000276,MSDATA,0000,采纳,INTELLI000276
ADOPT000277,MSDATA,0000,采纳,INTELLI000277
ADOPT000278,MSDATA,0000,未采纳,INTELLI000278
ADOPT000279,MSDATA,0000,未采纳,INTELLI000279
ADOPT000280,MSDATA,0000,未采纳,INTELLI000280
ADOPT000281,MSDATA,0000,采纳,INTELLI000281
ADOPT000282,MSDATA,0000,未采纳,INTELLI000282
ADOPT000283,MSDATA,0000,未采纳,INTELLI000283
ADOPT000284,MSDATA,0000,采纳,INTELLI000284
ADOPT000285,MSDATA,0000,未采纳,INTELLI000285
ADOPT000286,MSDATA,0000,采纳,INTELLI000286
ADOPT000287,MSDATA,0000,采纳,INTELLI000287
ADOPT000288,MSDATA,0000,采纳,INTELLI000288
ADOPT000289,MSDATA,0000,未采纳,INTELLI000289
ADOPT000290,MSDATA,0000,采纳,INTELLI000290
ADOPT000291,MSDATA,0000,未采纳,INTELLI000291
ADOPT000292,MSDATA,0000,采纳,INTELLI000292
ADOPT000293,MSDATA,0000,采纳,INTELLI000293
ADOPT000294,MSDATA,0000,采纳,INTELLI000294
ADOPT000295,MSDATA,0000,采纳,INTELLI000295
ADOPT000296,MSDATA,0000,未采纳,INTELLI000296
ADOPT000297,MSDATA,0000,未采纳,INTELLI000297
ADOPT000298,MSDATA,0000,未采纳,INTELLI000298
ADOPT000299,MSDATA,0000,未采纳,INTELLI000299
ADOPT000300,MSDATA,0000,采纳,INTELLI000300
ADOPT000301,MSDATA,0000,采纳,INTELLI000301
ADOPT000302,MSDATA,0000,采纳,INTELLI000302
ADOPT000303,MSDATA,0000,采纳,INTELLI000303
ADOPT000304,MSDATA,0000,未采纳,INTELLI000304
ADOPT000305,MSDATA,0000,未采纳,INTELLI000305
ADOPT000306,MSDATA,0000,采纳,INTELLI000306
ADOPT000307,MSDATA,0000,未采纳,INTELLI000307
ADOPT000308,MSDATA,0000,未采纳,INTELLI000308
ADOPT000309,MSDATA,0000,未采纳,INTELLI000309
ADOPT000310,MSDATA,0000,采纳,INTELLI000310
ADOPT000311,MSDATA,0000,未采纳,INTELLI000311
ADOPT000312,MSDATA,0000,采纳,INTELLI000312
ADOPT000313,MSDATA,0000,未采纳,INTELLI000313
ADOPT000314,MSDATA,0000,未采纳,INTELLI000314
ADOPT000315,MSDATA,0000,采纳,INTELLI000315
ADOPT000316,MSDATA,0000,未采纳,INTELLI000316
ADOPT000317,MSDATA,0000,采纳,INTELLI000317
ADOPT000318,MSDATA,0000,采纳,INTELLI000318
ADOPT000319,MSDATA,0000,未采纳,INTELLI000319
ADOPT000320,MSDATA,0000,未采纳,INTELLI000320
ADOPT000321,MSDATA,0000,采纳,INTELLI000321
ADOPT000322,MSDATA,0000,未采纳,INTELLI000322
ADOPT000323,MSDATA,0000,未采纳,INTELLI000323
ADOPT000324,MSDATA,0000,未采纳,INTELLI000324
ADOPT000325,MSDATA,0000,未采纳,INTELLI000325
ADOPT000326,MSDATA,0000,采纳,INTELLI000326
ADOPT000327,MSDATA,0000,未采纳,INTELLI000327
ADOPT000328,MSDATA,0000,未采纳,INTELLI000328
ADOPT000329,MSDATA,0000,采纳,INTELLI000329
ADOPT000330,MSDATA,0000,采纳,INTELLI000330
ADOPT000331,MSDATA,0000,未采纳,INTELLI000331
ADOPT000332,MSDATA,0000,采纳,INTELLI000332
ADOPT000333,MSDATA,0000,未采纳,INTELLI000333
ADOPT000334,MSDATA,0000,未采纳,INTELLI000334
ADOPT000335,MSDATA,0000,采纳,INTELLI000335
ADOPT000336,MSDATA,0000,未采纳,INTELLI000336
ADOPT000337,MSDATA,0000,未采纳,INTELLI000337
ADOPT000338,MSDATA,0000,采纳,INTELLI000338
ADOPT000339,MSDATA,0000,采纳,INTELLI000339
ADOPT000340,MSDATA,0000,未采纳,INTELLI000340
ADOPT000341,MSDATA,0000,未采纳,INTELLI000341
ADOPT000342,MSDATA,0000,采纳,INTELLI000342
ADOPT000343,MSDATA,0000,采纳,INTELLI000343
ADOPT000344,MSDATA,0000,采纳,INTELLI000344
ADOPT000345,MSDATA,0000,采纳,INTELLI000345
ADOPT000346,MSDATA,0000,采纳,INTELLI000346
ADOPT000347,MSDATA,0000,采纳,INTELLI000347
ADOPT000348,MSDATA,0000,未采纳,INTELLI000348
ADOPT000349,MSDATA,0000,未采纳,INTELLI000349
ADOPT000350,MSDATA,0000,采纳,INTELLI000350
ADOPT000351,MSDATA,0000,采纳,INTELLI000351
ADOPT000352,MSDATA,0000,采纳,INTELLI000352
ADOPT000353,MSDATA,0000,采纳,INTELLI000353
ADOPT000354,MSDATA,0000,采纳,INTELLI000354
ADOPT000355,MSDATA,0000,未采纳,INTELLI000355
ADOPT000356,MSDATA,0000,未采纳,INTELLI000356
ADOPT000357,MSDATA,0000,未采纳,INTELLI000357
ADOPT000358,MSDATA,0000,未采纳,INTELLI000358
ADOPT000359,MSDATA,0000,未采纳,INTELLI000359
ADOPT000360,MSDATA,0000,采纳,INTELLI000360
ADOPT000361,MSDATA,0000,采纳,INTELLI000361
ADOPT000362,MSDATA,0000,未采纳,INTELLI000362
ADOPT000363,MSDATA,0000,采纳,INTELLI000363
ADOPT000364,MSDATA,0000,未采纳,INTELLI000364
ADOPT000365,MSDATA,0000,未采纳,INTELLI000365
ADOPT000366,MSDATA,0000,采纳,INTELLI000366
ADOPT000367,MSDATA,0000,未采纳,INTELLI000367
ADOPT000368,MSDATA,0000,未采纳,INTELLI000368
ADOPT000369,MSDATA,0000,采纳,INTELLI000369
ADOPT000370,MSDATA,0000,采纳,INTELLI000370
ADOPT000371,MSDATA,0000,未采纳,INTELLI000371
ADOPT000372,MSDATA,0000,采纳,INTELLI000372
ADOPT000373,MSDATA,0000,未采纳,INTELLI000373
ADOPT000374,MSDATA,0000,采纳,INTELLI000374
ADOPT000375,MSDATA,0000,未采纳,INTELLI000375
ADOPT000376,MSDATA,0000,采纳,INTELLI000376
ADOPT000377,MSDATA,0000,未采纳,INTELLI000377
ADOPT000378,MSDATA,0000,采纳,INTELLI000378
ADOPT000379,MSDATA,0000,采纳,INTELLI000379
ADOPT000380,MSDATA,0000,采纳,INTELLI000380
ADOPT000381,MSDATA,0000,未采纳,INTELLI000381
ADOPT000382,MSDATA,0000,未采纳,INTELLI000382
ADOPT000383,MSDATA,0000,未采纳,INTELLI000383
ADOPT000384,MSDATA,0000,未采纳,INTELLI000384
ADOPT000385,MSDATA,0000,未采纳,INTELLI000385
ADOPT000386,MSDATA,0000,未采纳,INTELLI000386
ADOPT000387,MSDATA,0000,未采纳,INTELLI000387
ADOPT000388,MSDATA,0000,未采纳,INTELLI000388
ADOPT000389,MSDATA,0000,未采纳,INTELLI000389
ADOPT000390,MSDATA,0000,未采纳,INTELLI000390
ADOPT000391,MSDATA,0000,采纳,INTELLI000391
ADOPT000392,MSDATA,0000,未采纳,INTELLI000392
ADOPT000393,MSDATA,0000,采纳,INTELLI000393
ADOPT000394,MSDATA,0000,采纳,INTELLI000394
ADOPT000395,MSDATA,0000,采纳,INTELLI000395
ADOPT000396,MSDATA,0000,采纳,INTELLI000396
ADOPT000397,MSDATA,0000,采纳,INTELLI000397
ADOPT000398,MSDATA,0000,采纳,INTELLI000398
ADOPT000399,MSDATA,0000,未采纳,INTELLI000399
ADOPT000400,MSDATA,0000,未采纳,INTELLI000400
ADOPT000401,MSDATA,0000,采纳,INTELLI000401
ADOPT000402,MSDATA,0000,采纳,INTELLI000402
ADOPT000403,MSDATA,0000,未采纳,INTELLI000403
ADOPT000404,MSDATA,0000,未采纳,INTELLI000404
ADOPT000405,MSDATA,0000,未采纳,INTELLI000405
ADOPT000406,MSDATA,0000,采纳,INTELLI000406
ADOPT000407,MSDATA,0000,未采纳,INTELLI000407
ADOPT000408,MSDATA,0000,未采纳,INTELLI000408
ADOPT000409,MSDATA,0000,未采纳,INTELLI000409
ADOPT000410,MSDATA,0000,采纳,INTELLI000410
ADOPT000411,MSDATA,0000,采纳,INTELLI000411
ADOPT000412,MSDATA,0000,未采纳,INTELLI000412
ADOPT000413,MSDATA,0000,未采纳,INTELLI000413
ADOPT000414,MSDATA,0000,采纳,INTELLI000414
ADOPT000415,MSDATA,0000,未采纳,INTELLI000415
ADOPT000416,MSDATA,0000,采纳,INTELLI000416
ADOPT000417,MSDATA,0000,未采纳,INTELLI000417
ADOPT000418,MSDATA,0000,采纳,INTELLI000418
ADOPT000419,MSDATA,0000,未采纳,INTELLI000419
ADOPT000420,MSDATA,0000,采纳,INTELLI000420
ADOPT000421,MSDATA,0000,未采纳,INTELLI000421
ADOPT000422,MSDATA,0000,未采纳,INTELLI000422
ADOPT000423,MSDATA,0000,采纳,INTELLI000423
ADOPT000424,MSDATA,0000,采纳,INTELLI000424
ADOPT000425,MSDATA,0000,采纳,INTELLI000425
ADOPT000426,MSDATA,0000,未采纳,INTELLI000426
ADOPT000427,MSDATA,0000,采纳,INTELLI000427
ADOPT000428,MSDATA,0000,未采纳,INTELLI000428
ADOPT000429,MSDATA,0000,未采纳,INTELLI000429
ADOPT000430,MSDATA,0000,未采纳,INTELLI000430
ADOPT000431,MSDATA,0000,采纳,INTELLI000431
ADOPT000432,MSDATA,0000,未采纳,INTELLI000432
ADOPT000433,MSDATA,0000,采纳,INTELLI000433
ADOPT000434,MSDATA,0000,采纳,INTELLI000434
ADOPT000435,MSDATA,0000,采纳,INTELLI000435
ADOPT000436,MSDATA,0000,未采纳,INTELLI000436
ADOPT000437,MSDATA,0000,未采纳,INTELLI000437
ADOPT000438,MSDATA,0000,采纳,INTELLI000438
ADOPT000439,MSDATA,0000,采纳,INTELLI000439
ADOPT000440,MSDATA,0000,未采纳,INTELLI000440
ADOPT000441,MSDATA,0000,采纳,INTELLI000441
ADOPT000442,MSDATA,0000,采纳,INTELLI000442
ADOPT000443,MSDATA,0000,采纳,INTELLI000443
ADOPT000444,MSDATA,0000,采纳,INTELLI000444
ADOPT000445,MSDATA,0000,未采纳,INTELLI000445
ADOPT000446,MSDATA,0000,未采纳,INTELLI000446
ADOPT000447,MSDATA,0000,采纳,INTELLI000447
ADOPT000448,MSDATA,0000,采纳,INTELLI000448
ADOPT000449,MSDATA,0000,未采纳,INTELLI000449
ADOPT000450,MSDATA,0000,采纳,INTELLI000450
ADOPT000451,MSDATA,0000,未采纳,INTELLI000451
ADOPT000452,MSDATA,0000,采纳,INTELLI000452
ADOPT000453,MSDATA,0000,采纳,INTELLI000453
ADOPT000454,MSDATA,0000,采纳,INTELLI000454
ADOPT000455,MSDATA,0000,采纳,INTELLI000455
ADOPT000456,MSDATA,0000,采纳,INTELLI000456
ADOPT000457,MSDATA,0000,采纳,INTELLI000457
ADOPT000458,MSDATA,0000,未采纳,INTELLI000458
ADOPT000459,MSDATA,0000,采纳,INTELLI000459
ADOPT000460,MSDATA,0000,采纳,INTELLI000460
ADOPT000461,MSDATA,0000,未采纳,INTELLI000461
ADOPT000462,MSDATA,0000,未采纳,INTELLI000462
ADOPT000463,MSDATA,0000,采纳,INTELLI000463
ADOPT000464,MSDATA,0000,采纳,INTELLI000464
ADOPT000465,MSDATA,0000,未采纳,INTELLI000465
ADOPT000466,MSDATA,0000,未采纳,INTELLI000466
ADOPT000467,MSDATA,0000,未采纳,INTELLI000467
ADOPT000468,MSDATA,0000,未采纳,INTELLI000468
ADOPT000469,MSDATA,0000,采纳,INTELLI000469
ADOPT000470,MSDATA,0000,采纳,INTELLI000470
ADOPT000471,MSDATA,0000,采纳,INTELLI000471
ADOPT000472,MSDATA,0000,采纳,INTELLI000472
